"entrez_gene_id","contributing_probe_count"
"100507468",1
"100507470",1
"100507475",1
"100507477",2
"100507480",1
"100507494",2
"100507495",2
"100507501",1
"100507506",1
"100507507",3
"100507513",1
"100507516",1
"100507520",3
"100507524",1
"100507527",1
"100507530",1
"100507533",1
"100507534",1
"100507535",1
"100507537",1
"100507540",1
"100507557",1
"100507560",1
"100507562",1
"100507564",1
"100507567",2
"100507584",4
"100507600",1
"100507602",2
"100507605",1
"100507616",1
"100507629",1
"100507630",1
"100507632",1
"100507634",2
"100507642",1
"100507650",1
"100507654",3
"100507656",1
"100507670",1
"100508120",3
"100508631",1
"100509303",1
"100509814",1
"10051",3
"10052",4
"100526820",1
"100526833",2
"100527964",1
"10053",2
"100533106",1
"100533178",1
"100533182",1
"10054",2
"10055",3
"10056",3
"10057",3
"10058",2
"10059",3
"1006",4
"10060",5
"10061",5
"100616104",1
"100616434",1
"100616446",1
"100616497",1
"100616668",2
"10062",1
"100628307",1
"100628315",2
"10063",1
"100630918",1
"100630923",2
"100631378",2
"100642175",1
"100652730",1
"100652740",1
"100652748",1
"100652768",1
"100652770",3
"100652772",1
"100652791",1
"100652824",1
"100652853",1
"100652856",2
"100652857",1
"100652911",1
"100652929",1
"100652988",1
"100652999",1
"100653005",1
"100653022",1
"100653086",1
"10066",2
"10067",1
"10068",3
"100689073",2
"100689074",1
"10069",1
"1007",1
"10071",2
"10072",2
"10073",1
"10075",5
"10076",1
"10077",2
"10078",1
"10079",2
"1008",1
"10081",2
"10082",2
"100820829",1
"10083",3
"10084",3
"100847004",1
"10085",3
"100852405",1
"100852407",1
"100852408",1
"100852409",1
"100856811",1
"100859921",1
"100859930",1
"10086",2
"100861523",1
"100861532",2
"100861540",1
"100861541",2
"100861543",1
"100861544",1
"100861545",1
"100861546",1
"100861547",1
"100861548",1
"100861551",1
"100861552",1
"100861553",1
"100861554",1
"100861555",1
"100861573",1
"100862662",1
"100862679",1
"100862680",1
"100862697",1
"100862704",2
"10087",4
"100873930",1
"100873942",1
"100873949",1
"100873954",1
"100873964",1
"100873979",1
"100873985",1
"100874012",1
"100874014",1
"100874016",1
"100874018",1
"100874021",1
"100874032",1
"100874034",1
"100874035",1
"100874038",1
"100874051",1
"100874058",1
"100874063",1
"100874068",1
"100874069",1
"100874074",1
"100874107",1
"100874110",1
"100874114",1
"100874143",1
"100874167",1
"100874178",1
"100874182",2
"100874187",1
"100874194",1
"100874195",3
"100874205",3
"100874238",1
"100874239",1
"100874241",2
"100874243",1
"100874251",1
"100874253",1
"100874291",1
"100874292",1
"100874305",1
"100874314",1
"100874362",2
"100874365",1
"100874371",1
"100874375",1
"100874392",2
"100874433",1
"100885775",1
"100885778",1
"100885781",1
"100885798",1
"100885848",1
"10089",3
"1009",4
"10090",2
"10092",3
"10093",2
"10094",1
"10095",1
"10096",5
"10097",7
"10098",3
"10099",5
"100996246",1
"100996251",1
"100996255",1
"100996263",1
"100996279",1
"100996280",1
"100996286",1
"100996295",1
"100996301",1
"100996307",1
"100996325",1
"100996342",1
"100996345",1
"100996385",2
"100996404",1
"100996412",1
"100996419",2
"100996425",1
"100996455",1
"100996457",1
"100996485",1
"100996490",2
"100996492",3
"100996506",2
"100996511",2
"100996539",1
"100996542",1
"100996549",1
"100996570",3
"100996579",2
"100996583",1
"100996590",2
"100996597",1
"100996624",1
"100996634",1
"100996654",1
"100996665",1
"100996671",1
"100996681",1
"100996694",1
"100996702",1
"100996724",1
"100996740",1
"100996756",1
"100996760",1
"100996843",1
"100996902",1
"100996930",1
"101",2
"1010",1
"10100",3
"10101",1
"10102",3
"10103",1
"10105",2
"101055625",1
"101056700",1
"101059948",1
"10106",2
"101060004",1
"101060019",1
"101060091",1
"101060200",1
"101060264",1
"101060391",1
"101060400",2
"101060424",1
"101060510",1
"101060544",1
"101060553",1
"101060609",1
"101060691",2
"10107",4
"10109",3
"10110",2
"10111",3
"10112",1
"10113",1
"10114",4
"10116",3
"10117",2
"1012",1
"10120",1
"10121",2
"10123",4
"10124",1
"101241892",1
"10125",1
"10126",1
"10128",4
"10129",4
"1013",2
"10130",4
"10131",2
"10133",2
"10134",1
"10135",4
"10136",2
"101362076",1
"10137",2
"10138",2
"10139",2
"1014",1
"10140",1
"10141",1
"101410533",1
"101410535",1
"101410538",4
"10142",3
"10143",1
"10144",5
"10146",7
"10147",5
"10148",1
"10149",1
"1015",1
"10150",5
"10151",1
"10152",8
"10153",1
"10154",4
"10155",1
"101559451",1
"10157",2
"10158",2
"10159",3
"101593348",1
"1016",1
"10160",5
"10161",2
"10162",2
"10163",3
"10164",1
"10165",3
"10166",2
"101669762",1
"101669764",1
"10168",2
"1017",3
"10170",3
"10171",3
"10172",1
"10174",2
"10175",2
"101752400",1
"10178",2
"10179",2
"10180",3
"10181",4
"10184",1
"10186",2
"10188",4
"10189",2
"1019",1
"10190",3
"101926888",1
"101926890",1
"101926892",1
"101926903",1
"101926906",1
"101926907",1
"101926912",1
"101926913",2
"101926915",1
"101926916",1
"101926918",1
"101926928",1
"101926934",1
"101926942",1
"101926943",1
"101926944",1
"101926959",1
"101926960",1
"101926962",1
"101926963",1
"101926967",1
"101926975",1
"101926978",1
"101926987",1
"101926996",1
"101927003",1
"101927007",1
"101927017",1
"101927018",1
"101927020",1
"101927021",1
"101927027",4
"101927034",1
"101927038",1
"101927040",1
"101927043",2
"101927044",1
"101927049",2
"101927051",3
"101927058",1
"101927059",1
"101927060",1
"101927066",1
"101927067",1
"101927069",1
"101927071",1
"101927074",1
"101927075",1
"101927081",1
"101927084",1
"101927085",2
"101927086",1
"101927089",1
"101927093",1
"101927095",1
"101927096",1
"101927098",1
"101927111",3
"101927112",1
"101927115",2
"101927117",1
"101927121",2
"101927122",2
"101927123",1
"101927124",1
"101927125",1
"101927126",1
"101927129",1
"101927131",1
"101927133",1
"101927138",1
"101927143",1
"101927150",1
"101927151",1
"101927152",1
"101927157",1
"101927159",1
"101927164",1
"101927166",2
"101927176",1
"101927181",1
"101927193",1
"101927195",1
"101927196",1
"101927204",2
"101927206",1
"101927210",1
"101927211",1
"101927219",1
"101927220",1
"101927221",1
"101927224",1
"101927228",1
"101927237",1
"101927244",1
"101927247",1
"101927248",1
"101927249",1
"101927253",1
"101927254",1
"101927256",1
"101927257",1
"101927263",1
"101927272",1
"101927273",1
"101927274",1
"101927275",2
"101927278",1
"101927279",1
"101927282",1
"101927286",1
"101927287",1
"101927292",1
"101927295",3
"101927305",1
"101927310",1
"101927313",1
"101927314",1
"101927320",1
"101927330",1
"101927331",1
"101927340",1
"101927342",1
"101927346",1
"101927348",1
"101927350",1
"101927358",1
"101927359",1
"101927360",1
"101927362",1
"101927363",1
"101927365",1
"101927377",2
"101927379",1
"101927380",1
"101927391",1
"101927396",1
"101927406",1
"101927410",1
"101927411",1
"101927416",1
"101927417",1
"101927420",1
"101927422",1
"101927433",1
"101927438",1
"101927447",1
"101927449",1
"101927450",1
"101927451",1
"101927455",1
"101927460",1
"101927465",1
"101927479",1
"101927482",1
"101927490",1
"101927494",1
"101927495",1
"101927498",2
"101927499",1
"101927502",1
"101927503",1
"101927507",1
"101927508",1
"101927513",1
"101927523",1
"101927526",1
"101927528",1
"101927531",1
"101927534",1
"101927537",1
"101927539",1
"101927543",1
"101927547",1
"101927550",1
"101927552",1
"101927553",1
"101927565",1
"101927574",1
"101927581",1
"101927582",1
"101927586",1
"101927588",1
"101927591",1
"101927592",1
"101927597",1
"101927599",1
"101927603",1
"101927604",1
"101927606",2
"101927608",1
