member,kind,bytes,sha256
data_release/psc_gwas_fine_mapping/PRKD2.log,file,1801,d78f47092c1969423e5d3c44a9669096f5de616082a7367f4e6144691a217de8
data_release/psc_gwas_fine_mapping/PRKD2.snp,file,71531,d482ec69d22a5104261d513a2a90e2870cc3b1424cd9b162c63e436b9f453bde
data_release/psc_gwas_fine_mapping/PSMG1.config,file,2806334,09187b7e3c49584de795b7e72dd56686093b7d8a4fc807162e653b8d3dbf164b
data_release/psc_gwas_fine_mapping/PSMG1.log,file,1801,d56de14ee95dc5e7d43d4e7abb0fdf9b071c34c324c7984faa845326719925bf
data_release/psc_gwas_fine_mapping/PSMG1.snp,file,105748,119d06d7466f607cc660d1668e8182e6722678e6dbf47523984dee8ec03fc16e
data_release/psc_gwas_fine_mapping/SH2B3.config,file,3213042,fbe5fd9ade88c712718de526b552aaf906a3c89f7c1bcb82abfc79c70b60439c
data_release/psc_gwas_fine_mapping/SH2B3.log,file,1801,7d1ef4a4d703394e1b1a926133a1e3ccd74fc7c7b09c8c01d32e113399f97349
data_release/psc_gwas_fine_mapping/SH2B3.snp,file,37424,97d33eb688475bba505410a7403ed9652a45bcc5285d53054fa5ded456c1a3d8
data_release/psc_gwas_fine_mapping/SIK2.config,file,93657,0c13fd40b0fc8705462109001bbccd68d6b0e1f8a251959c834261b062df1298
data_release/psc_gwas_fine_mapping/SIK2.log,file,1796,7b2ab86b08235db379338d0641fb16774e464d5f188e1c4fa3605a7d332cae8b
data_release/psc_gwas_fine_mapping/SIK2.snp,file,67669,755c0b2dd9a00befd6b902d6ca9e1475e4266236abdbdae3555dae876edc9809
data_release/psc_gwas_fine_mapping/UBASH3A.config,file,188295,3b58e80fe869a0b0574bf85e5069d7298eb775cc426ad0406993324e0f0aa45d
data_release/psc_gwas_fine_mapping/UBASH3A.log,file,1811,4c28b269fef657370a29ccb1f3c4ae8b8744f3734742be2dedc0aae041e3f503
data_release/psc_gwas_fine_mapping/UBASH3A.snp,file,139351,637eed825c737e36eb802a567b9f1df81ea47d575c24709ec524bff17de27203
