experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000ASN,ENCFF696WCD,GRCh38,released,bigWig,fold change over control,245262240,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF032QOM,GRCh38,released,bigWig,fold change over control,849246058,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF112PES,GRCh38,released,bed,replicated peaks,1463977,,True,,1;2
ENCSR000ASN,ENCFF483COQ,hg19,archived,bigWig,fold change over control,434088096,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASN,ENCFF504ZTG,hg19,archived,tagAlign,alignments,152420539,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASN,ENCFF411JJZ,hg19,archived,bigWig,signal p-value,563615443,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASN,ENCFF783WER,hg19,released,bam,alignments,500125226,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF920GNB,hg19,released,bam,unfiltered alignments,968159506,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF780BNB,hg19,released,bam,unfiltered alignments,2584355067,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF921RIQ,hg19,released,bam,alignments,1706266347,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF324KBU,hg19,released,bigWig,fold change over control,847638962,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF816SGF,hg19,released,bigBed,peaks,3369206,,False,file not GRCh38; not BED,1
ENCSR000ASN,ENCFF828TXC,hg19,released,bigBed,peaks,3732644,,False,file not GRCh38; not BED,2
ENCSR000ASN,ENCFF584CWR,hg19,released,bigWig,fold change over control,243974260,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF026BNA,hg19,released,bed,replicated peaks,1467132,,False,file not GRCh38,1;2
ENCSR000ASN,ENCFF202JKC,hg19,released,bigBed,replicated peaks,3071626,,False,file not GRCh38; not BED,1;2
ENCSR000ASN,ENCFF120BSU,hg19,released,bed,peaks,1145061,,False,file not GRCh38,1
