experiment,assay_title,histone_mark,selected_group,search_audit_levels,status
ENCSR400VWA,Histone ChIP-seq,H3K4me1,H3K4me1,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,selected by prespecified accession/metadata order
ENCSR405UWS,total RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR406DUQ,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR410OWB,snATAC-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR417AIG,Mint-ChIP-seq,H3K4me1,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR418PAC,total RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR444GJM,Control ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR444SKT,intact Hi-C,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR451UAB,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR452DCM,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR464ETX,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR465SUK,Mint-ChIP-seq,H3K27me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR467YDA,polyA plus RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR476KXY,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR487WNP,Mint-ChIP-seq,H3K36me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR491DPW,DNase-seq,,DNase-seq,,later accession after two qualifying experiments
ENCSR500ZQD,DNase-seq,,DNase-seq,,later accession after two qualifying experiments
ENCSR509FRR,Control Mint-ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR514NZF,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR527GTR,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR539ZYY,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR555VYM,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR561MDN,Mint-ChIP-seq,H3K27me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR601HWV,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR609PYW,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR617NSY,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR623ARV,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR629GFF,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR638OAH,polyA plus RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR660UYR,Control ChIP-seq,,,,outside prespecified assay/mark scope
ENCSR663IRI,Mint-ChIP-seq,H3K4me1,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR665QZU,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR674JIL,DNase-seq,,DNase-seq,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR677ZMY,Mint-ChIP-seq,H3K4me1,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR685BBN,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR690NZN,Mint-ChIP-seq,H3K27me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR695AUY,DNase-seq,,DNase-seq,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR698REG,total RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR699PTC,total RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR700VUT,DNase-seq,,DNase-seq,,later accession after two qualifying experiments
ENCSR707HMU,Mint-ChIP-seq,H3K27me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR769FIE,total RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR781KKA,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR787IEM,Mint-ChIP-seq,H3K36me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR790KDX,Mint-ChIP-seq,H3K36me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
