filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,168763177,55428766,8,6944315758,3219888438
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,407350702,134021227,8,6999744665,1636483680
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,117447820,38901525,8,7133766032,1897427642
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,119068,49419,8,7172667698,959032162
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,237467284,77418072,8,7172717250,1915167864
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,74310543,24521837,8,7250135463,4175697176
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,86142999,28218456,8,7274657441,11971308
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,218121899,70420653,8,7302876038,2715486740
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,119925763,39018938,8,7373296833,3261012609
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,163745010,54278163,8,7412315914,4064823990
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,176309353,56569473,8,7466594220,3404691753
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,44223810,14413278,8,7523163835,3487174431
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,197195206,64178519,8,7537577256,238560777
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,82031299,26829730,8,7601755917,3166716899
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,221065492,71093781,8,7628585790,2419410535
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,281744772,84706472,8,7699679714,4247201106
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,270228620,87687374,8,7784386328,4268258937
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,205666052,67162027,8,7872073844,3917640187
