dataset_key,dataset_id,modality,suspension_type,threshold,author_cell_type,comparison_id,comparison,status,observed_donors,donors,spearman_rho,assays_collapsed_within_donor,interpretation
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Kupffer,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,7,6,0.3714285714285715,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Kupffer,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,7,5,0.0,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Kupffer,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,7,5,0.49999999999999994,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Kupffer,inflammation,primary_program_vs_inflammation,evaluable_descriptive,7,5,0.6,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Kupffer,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,7,5,0.7,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Kupffer,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,7,5,-0.09999999999999999,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,LAM-like,apoptotic_signaling,primary_program_vs_apoptotic_signaling,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,LAM-like,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,LAM-like,inflammation,primary_program_vs_inflammation,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,LAM-like,interferon_gamma,primary_program_vs_interferon_gamma,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,LAM-like,oxidative_stress,primary_program_vs_oxidative_stress,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,LAM-like,apoptotic_signaling,primary_program_vs_apoptotic_signaling,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,LAM-like,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,LAM-like,inflammation,primary_program_vs_inflammation,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,LAM-like,interferon_gamma,primary_program_vs_interferon_gamma,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,LAM-like,oxidative_stress,primary_program_vs_oxidative_stress,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
