dataset_key,dataset_id,modality,suspension_type,author_cell_type,assay,gene,cell_threshold,comparison,psc_assays_observed,control_assays_observed,shared_assay,min_donors_required,psc_median_log2_cpm1,control_median_log2_cpm1,psc_minus_control_median_difference,psc_median_detection_fraction,control_median_detection_fraction,psc_observed_detection_fraction,control_observed_detection_fraction,psc_eligible_donors,control_eligible_donors,leave_one_donor_out_min_difference,leave_one_donor_out_max_difference,leave_one_donor_out_evaluable_count,biological_interpretation,status,reason
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,AntiB,10x 3' v3,PFKFB3,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,,,,,,,,1,0,,,0,unavailable,insufficient_donors,At least three eligible donors per cohort are required
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,AntiB,10x 3' v3,PRKD2,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,,,,,,,,1,0,,,0,unavailable,insufficient_donors,At least three eligible donors per cohort are required
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,AntiB,10x 3' v3,UBASH3A,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,,,,,,,,1,0,,,0,unavailable,insufficient_donors,At least three eligible donors per cohort are required
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,BCL2L11,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.649800875586498,4.397711741443814,0.2520891341426843,0.0899390243902439,0.12949827880627762,0.10739347096511746,0.19647988505747127,7,4,-0.02777492304356599,0.5319531913289337,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,ETS2,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,8.459642980564928,8.001040674002017,0.458602306562911,0.7423780487804879,0.6953769950467804,0.7001932268890471,0.7137212643678161,7,4,0.1097112841628256,0.8074933289629955,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,PFKFB3,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,6.310559434421177,5.362602789071568,0.9479566453496089,0.2071150097465887,0.18250056469610315,0.21702430590867486,0.24748563218390804,7,4,0.6822023186305746,1.203086747220122,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,PRKD2,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.491354072048382,4.059644120250878,0.4317099517975036,0.08346972176759411,0.10751181344247779,0.09112173294009966,0.1221264367816092,7,4,0.27151269223488317,0.5919072113601245,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,UBASH3A,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,0.20741846812578735,0.06981746412618543,0.1376010039996019,0.0005561735261401557,0.0005063291139240507,0.0011186819892199736,0.0007183908045977011,7,4,0.06778353987341648,0.2102711395092252,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,BCL2L11,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.649800875586498,4.397711741443814,0.2520891341426843,0.0899390243902439,0.12949827880627762,0.10739347096511746,0.19647988505747127,7,4,-0.02777492304356599,0.5319531913289337,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,ETS2,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,8.459642980564928,8.001040674002017,0.458602306562911,0.7423780487804879,0.6953769950467804,0.7001932268890471,0.7137212643678161,7,4,0.1097112841628256,0.8074933289629955,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,PFKFB3,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,6.310559434421177,5.362602789071568,0.9479566453496089,0.2071150097465887,0.18250056469610315,0.21702430590867486,0.24748563218390804,7,4,0.6822023186305746,1.203086747220122,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,PRKD2,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.491354072048382,4.059644120250878,0.4317099517975036,0.08346972176759411,0.10751181344247779,0.09112173294009966,0.1221264367816092,7,4,0.27151269223488317,0.5919072113601245,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato,10x 3' v3,UBASH3A,50,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,0.20741846812578735,0.06981746412618543,0.1376010039996019,0.0005561735261401557,0.0005063291139240507,0.0011186819892199736,0.0007183908045977011,7,4,0.06778353987341648,0.2102711395092252,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato2,10x 3' v3,BCL2L11,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.705283823448301,4.2862474302285705,0.41903639321973074,0.06888888888888889,0.053370531074620656,0.06944444444444445,0.13033033033033034,7,4,-0.012168879193258597,0.8502416656327196,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato2,10x 3' v3,ETS2,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,8.427744502090567,7.919184027210706,0.5085604748798609,0.5760869565217391,0.5962009803921569,0.5281339031339032,0.5111111111111111,7,4,0.32770143409563524,0.6894195156640865,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato2,10x 3' v3,PFKFB3,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,5.778780278413911,5.650444988812178,0.12833528960173268,0.09333333333333334,0.1082721754099846,0.09686609686609686,0.12732732732732732,7,4,-0.07303465674842702,0.3079789587218986,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,C-Hepato2,10x 3' v3,PRKD2,20,PSC_minus_Control,10x 3' v3,10x 3' v3,True,3,4.264615662094779,3.9357370241811935,0.3288786379135855,0.04929577464788732,0.04965833506547496,0.051994301994301995,0.06546546546546547,7,4,0.09066763821093549,0.567089637616236,11,residual_processing_confounding_flagged_for_sn,evaluable_descriptive_residual_processing_confounded,
