source_member,column,row_index,ensembl_id,is_excluded,exclusion_reason
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,93,ENSG00000107201,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,94,ENSG00000150636,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,95,ENSG00000012061,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,96,ENSG00000127419,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,97,ENSG00000163734,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,98,ENSG00000128294,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,99,ENSG00000135838,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,100,ENSG00000151715,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,101,ENSG00000136490,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,102,ENSG00000050405,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,103,ENSG00000144959,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,104,ENSG00000143851,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,105,ENSG00000157827,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,106,ENSG00000166689,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,107,ENSG00000248477,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,108,ENSG00000178726,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,109,ENSG00000100336,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,110,ENSG00000187630,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,111,ENSG00000186469,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,112,ENSG00000125753,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,113,ENSG00000168404,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,114,ENSG00000013810,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,115,ENSG00000132405,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,116,ENSG00000197142,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,117,ENSG00000116574,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,118,ENSG00000185722,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,119,ENSG00000133561,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,120,ENSG00000205060,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,121,ENSG00000111348,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,122,ENSG00000173706,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,123,ENSG00000157326,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,124,ENSG00000100596,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,125,ENSG00000197471,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,126,ENSG00000010295,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,127,ENSG00000137491,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,128,ENSG00000162946,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,129,ENSG00000102755,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,130,ENSG00000185291,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,131,ENSG00000250687,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,132,ENSG00000137752,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,133,ENSG00000197548,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,134,ENSG00000133574,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,135,ENSG00000075303,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,136,ENSG00000198829,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,137,ENSG00000125538,false,
